run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,response,question_order,stimulus,slider_start,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
10,1,"[{""page_index"":0,""viewing_time"":1038267.7999999821},{""page_index"":1,""viewing_time"":59722.40000000596},{""page_index"":2,""viewing_time"":2978.199999988079}]",1100969.7999999821,instructions,0,1101048,0.0-0.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"[{""page_index"":0,""viewing_time"":3645.699999988079}]",3646.199999988079,instructions,1,1104702,0.0-1.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",288062.7000000179,survey-likert,2,1392791,0.0-2.0,"{""rp_name_relation"":2,""rp_name_abref"":0,""ap_to_rp"":0,""ap_lose"":6,""ap_name_relation"":6,""rp_lose"":2,""ap_id_interval"":1,""rp_id_440"":4,""ap_produce_interval"":3,""rp_remember_group"":3,""rp_to_ap"":0,""rp_produce_440"":3,""ap_produce_abref"":6,""ap_ref_tonal"":6,""rp_id_interval"":6,""rp_produce_interval"":6,""ap_remember_group"":4,""rp_ref_tonal"":6,""rp_produce_abref"":0,""ap_produce_440"":0,""ap_produce_tonality"":6,""ap_name_abref"":6,""ap_perceive_same"":1,""rp_produce_tonality"":6,""rp_perceive_same"":6,""ap_id_440"":0}","[5,9,21,27,19,12,17,7,18,11,13,8,25,2,3,4,14,26,0,10,23,16,24,20,1,15,6,22]","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",53812.5,survey-text,3,1446620,0.0-3.0,"{""Q0"":""Not applicable.""}","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",14436.200000017881,survey-text,4,1461063,0.0-4.0,"{""Q0"":""Not applicable.""}","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"[{""page_index"":0,""viewing_time"":1844.6000000238419}]",1845.5,instructions,5,1462912,0.0-5.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",120474.79999998212,survey-likert,6,1583399,0.0-6.0,"{""rp_better_others"":6,""rp_override"":6,""re_people_al"":2,""rp_trained_ap"":4,""ap_override"":6,""ap_better_others"":6,""ap_trained_ap"":3,""rp_normal"":4,""ap_impaired"":5,""ap_tonedeaf"":0,""rp_tonedeaf"":4,""ap_normal"":2,""rp_impaired"":1,""ap_people_all"":0}","[6,2,0,3,9,13,10,5,8,11,4,12,1,7]","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"[{""page_index"":0,""viewing_time"":4751.5}]",4751.800000011921,instructions,7,1588158,0.0-7.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"[{""page_index"":0,""viewing_time"":3958.300000011921}]",3958.5999999940395,instructions,8,1592118,0.0-8.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"[{""page_index"":0,""viewing_time"":22495.69999998808}]",22496.09999999404,instructions,9,1614617,0.0-9.0,"""","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",31176,survey-text,10,1645798,0.0-10.0,"{""Q0"":""Sing on scale-degree numbers.""}","""","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
10,1,"""",21750.90000000596,survey-likert,11,1667556,0.0-11.0,"{""rp_ac_rate"":6}","[0,1,2,3,4]","""","""",2021-08-10 18:33:17,8.9.81.197,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",Macintosh,Chrome,92.0.4515.107,OS X,10_15_7,c2ec3e1d97c081aeb487e375c8af45d6
